,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,1,1761,O,CD
1,1,1,.,O,.
2,2,2,This,O,DT
3,3,2,verse,O,NN
4,4,2,is,O,VBZ
5,5,2,not,O,RB
6,6,2,at,O,RB
7,7,2,all,O,RB
8,8,2,difficult,O,JJ
9,9,2,.,O,.
10,10,3,The,O,DT
11,11,3,sense,O,NN
12,12,3,is,O,VBZ
13,13,3,that,O,IN
14,14,3,the,O,DT
15,15,3,man,O,NN
16,16,3,who,O,WP
17,17,3,transcends,O,VBZ
18,18,3,all,O,DT
19,19,3,attachments,O,NNS
20,20,3,never,O,RB
21,21,3,comes,O,VBZ
22,22,3,to,O,IN
23,23,3,grief,O,NN
24,24,3,if,O,IN
25,25,3,brought,O,VBN
26,26,3,into,O,IN
27,27,3,union,O,NN
28,28,3,with,O,IN
29,29,3,other,O,JJ
30,30,3,creatures,O,NNS
31,31,3,.,O,.
32,32,4,The,O,DT
33,33,4,Burdwan,O,NNP
34,34,4,translator,O,NN
35,35,4,gives,O,VBZ
36,36,4,a,O,DT
37,37,4,thoroughly,O,RB
38,38,4,unmeaning,O,JJ
39,39,4,version,O,NN
40,40,4,of,O,IN
41,41,4,this,O,DT
42,42,4,couplet,O,NN
43,43,4,.,O,.
44,44,5,1762,O,CD
45,45,5,.,O,.
46,46,6,The,O,DT
47,47,6,object,O,NN
48,48,6,of,O,IN
49,49,6,this,O,DT
50,50,6,verse,O,NN
51,51,6,is,O,VBZ
52,52,6,to,O,TO
53,53,6,show,O,VB
54,54,6,that,O,IN
55,55,6,men,O,NNS
56,56,6,of,O,IN
57,57,6,knowledge,O,NN
58,58,6,do,O,VBP
59,59,6,not,O,RB
60,60,6,perform,O,VB
61,61,6,sacrifices,O,NNS
62,62,6,",",O,","
63,63,6,in,O,IN
64,64,6,which,O,WDT
65,65,6,",",O,","
66,66,6,as,O,IN
67,67,6,a,O,DT
68,68,6,matter,O,NN
69,69,6,of,O,IN
70,70,6,course,O,NN
71,71,6,",",O,","
72,72,6,a,O,DT
73,73,6,large,O,JJ
74,74,6,number,O,NN
75,75,6,of,O,IN
76,76,6,creatures,O,NNS
77,77,6,is,O,VBZ
78,78,6,slain,O,VBN
79,79,6,.,O,.
80,80,7,Men,O,NNS
81,81,7,wedded,O,VBD
82,82,7,to,O,IN
83,83,7,the,O,DT
84,84,7,religion,O,NN
85,85,7,of,O,IN
86,86,7,Pravriti,B-PER,NNP
87,87,7,perform,O,VBP
88,88,7,sacrifices,O,NNS
89,89,7,.,O,.
90,90,8,Coming,O,VBG
91,91,8,into,O,IN
92,92,8,the,O,DT
93,93,8,world,O,NN
94,94,8,in,O,IN
95,95,8,consequence,O,NN
96,96,8,of,O,IN
97,97,8,past,O,JJ
98,98,8,acts,O,NNS
99,99,8,",",O,","
100,100,8,they,O,PRP
101,101,8,seek,O,VBP
102,102,8,happiness,O,NN
103,103,8,(,O,","
104,104,8,by,O,IN
105,105,8,repairing,O,VBG
106,106,8,to,O,IN
107,107,8,heaven,O,NNP
108,108,8,),O,","
109,109,8,along,O,IN
110,110,8,the,O,DT
111,111,8,way,O,NN
112,112,8,of,O,IN
113,113,8,sacrifices,O,NNS
114,114,8,and,O,CC
115,115,8,religious,O,JJ
116,116,8,rites,O,NNS
117,117,8,.,O,.
118,118,9,A,O,DT
119,119,9,large,O,JJ
120,120,9,number,O,NN
121,121,9,of,O,IN
122,122,9,creatures,O,NNS
123,123,9,is,O,VBZ
124,124,9,slain,O,VBN
125,125,9,",",O,","
126,126,9,for,O,IN
127,127,9,besides,O,IN
128,128,9,the,O,DT
129,129,9,victims,O,NNS
130,130,9,ostensibly,O,RB
131,131,9,offered,O,VBN
132,132,9,",",O,","
133,133,9,an,O,DT
134,134,9,infinite,O,JJ
135,135,9,number,O,NN
136,136,9,of,O,IN
137,137,9,smaller,O,JJR
138,138,9,and,O,CC
139,139,9,minuter,O,NN
140,140,9,creatures,O,NNS
141,141,9,are,O,VBP
142,142,9,killed,O,VBN
143,143,9,in,O,IN
144,144,9,the,O,DT
145,145,9,sacrificial,O,JJ
146,146,9,fires,O,NNS
147,147,9,and,O,CC
148,148,9,in,O,IN
149,149,9,course,O,NN
150,150,9,of,O,IN
151,151,9,the,O,DT
152,152,9,other,O,JJ
