,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,1,And,O,CC
1,1,1,having,O,VBG
2,2,1,given,O,VBN
3,3,1,away,O,RB
4,4,1,the,O,DT
5,5,1,horse,O,NN
6,6,1,unto,O,IN
7,7,1,him,O,PRP
8,8,1,",",O,","
9,9,1,the,O,DT
10,10,1,king,O,NN
11,11,1,proceeded,O,VBD
12,12,1,on,O,IN
13,13,1,his,O,PRP$
14,14,1,journey,O,NN
15,15,1,.,O,.
16,16,2,And,O,CC
17,17,2,then,O,RB
18,18,2,there,O,RB
19,19,2,came,O,VBD
20,20,2,unto,O,IN
21,21,2,the,O,DT
22,22,2,king,O,NN
23,23,2,another,O,DT
24,24,2,Brahmana,B-COMMUNITY,NNP
25,25,2,desirous,O,JJ
26,26,2,of,O,IN
27,27,2,obtaining,O,VBG
28,28,2,a,O,DT
29,29,2,horse,O,NN
30,30,2,.,O,.
31,31,3,And,O,CC
32,32,3,the,O,DT
33,33,3,king,O,NN
34,34,3,soon,O,RB
35,35,3,gave,O,VBD
36,36,3,him,O,PRP
37,37,3,the,O,DT
38,38,3,horse,O,NN
39,39,3,on,O,IN
40,40,3,the,O,DT
41,41,3,left,O,JJ
42,42,3,front,O,NN
43,43,3,of,O,IN
44,44,3,his,O,PRP$
45,45,3,car,O,NN
46,46,3,",",O,","
47,47,3,unyoking,O,VBG
48,48,3,the,O,DT
49,49,3,animal,O,NN
50,50,3,.,O,.
51,51,4,And,O,CC
52,52,4,having,O,VBG
53,53,4,done,O,VBN
54,54,4,so,O,RB
55,55,4,",",O,","
56,56,4,the,O,DT
57,57,4,king,O,NN
58,58,4,proceeded,O,VBD
59,59,4,on,O,IN
60,60,4,his,O,PRP$
61,61,4,journey,O,NN
62,62,4,.,O,.
63,63,5,And,O,CC
64,64,5,then,O,RB
65,65,5,there,O,RB
66,66,5,came,O,VBD
67,67,5,unto,O,IN
68,68,5,the,O,DT
69,69,5,king,O,NN
70,70,5,another,O,DT
71,71,5,Brahmana,B-COMMUNITY,NNP
72,72,5,desirous,O,JJ
73,73,5,of,O,IN
74,74,5,obtaining,O,VBG
75,75,5,a,O,DT
76,76,5,horse,O,NN
77,77,5,.,O,.
78,78,6,And,O,CC
79,79,6,the,O,DT
80,80,6,king,O,NN
81,81,6,said,O,VBD
82,82,6,unto,O,IN
83,83,6,him,O,PRP
84,84,6,",",O,","
85,85,6,',O,''
86,86,6,Returning,O,VBG
87,87,6,",",O,","
88,88,6,I,O,PRP
89,89,6,will,O,MD
90,90,6,give,O,VB
91,91,6,thee,O,PRP
92,92,6,a,O,DT
93,93,6,horse,O,NN
94,94,6,.,O,.
95,95,6,',O,''
96,96,7,But,O,CC
97,97,7,the,O,DT
98,98,7,Brahmana,B-COMMUNITY,NNP
99,99,7,said,O,VBD
100,100,7,",",O,","
101,101,7,',O,''
102,102,7,Let,O,VB
103,103,7,the,O,DT
104,104,7,steed,O,NN
105,105,7,be,O,VB
106,106,7,given,O,VBN
107,107,7,to,O,IN
108,108,7,me,O,PRP
109,109,7,soon,O,RB
110,110,7,.,O,.
111,111,7,',O,''
112,112,8,And,O,CC
113,113,8,the,O,DT
114,114,8,king,O,NN
115,115,8,gave,O,VBD
116,116,8,him,O,PRP
117,117,8,the,O,DT
118,118,8,only,O,JJ
119,119,8,horse,O,NN
120,120,8,he,O,PRP
121,121,8,had,O,VBD
122,122,8,.,O,.
123,123,9,And,O,CC
124,124,9,seizing,O,VBG
125,125,9,the,O,DT
126,126,9,yoke,O,NN
127,127,9,of,O,IN
128,128,9,the,O,DT
129,129,9,car,O,NN
130,130,9,himself,O,PRP
131,131,9,",",O,","
132,132,9,the,O,DT
133,133,9,king,O,NN
134,134,9,began,O,VBD
135,135,9,to,O,TO
136,136,9,draw,O,VB
137,137,9,it,O,PRP
138,138,9,.,O,.
139,139,10,And,O,CC
140,140,10,as,O,IN
141,141,10,he,O,PRP
142,142,10,did,O,VBD
143,143,10,so,O,RB
144,144,10,",",O,","
145,145,10,he,O,PRP
146,146,10,said,O,VBD
147,147,10,",",O,","
148,148,10,',O,''
149,149,10,There,O,EX
150,150,10,is,O,VBZ
151,151,10,now,O,RB
152,152,10,nothing,O,NN
153,153,10,for,O,IN
154,154,10,the,O,DT
155,155,10,Brahmanas,B-COMMUNITY,NNP
156,156,10,.,O,.
157,157,10,',O,''
158,158,11,The,O,DT
159,159,11,king,O,NN
160,160,11,had,O,VBD
161,161,11,given,O,VBN
162,162,11,away,O,RP
163,163,11,",",O,","
164,164,11,it,O,PRP
165,165,11,is,O,VBZ
166,166,11,true,O,JJ
167,167,11,",",O,","
168,168,11,but,O,CC
169,169,11,he,O,PRP
170,170,11,had,O,VBD
171,171,11,done,O,VBN
172,172,11,so,O,RB
173,173,11,with,O,IN
174,174,11,detraction,O,NN
175,175,11,.,O,.
176,176,12,And,O,CC
177,177,12,for,O,IN
178,178,12,that,O,DT
179,179,12,speech,O,NN
180,180,12,of,O,IN
181,181,12,his,O,PRP
182,182,12,",",O,","
183,183,12,he,O,PRP
184,184,12,shall,O,MD
185,185,12,have,O,VB
186,186,12,to,O,TO
187,187,12,fall,O,VB
188,188,12,down,O,RP
189,189,12,from,O,IN
190,190,12,heaven,O,NNP
191,191,12,.,O,.
192,192,13,And,O,CC
193,193,13,after,O,IN
194,194,13,the,O,DT
195,195,13,Rishi,B-COMMUNITY,NNP
196,196,13,had,O,VBD
197,197,13,said,O,VBN
198,198,13,so,O,RB
199,199,13,",",O,","
200,200,13,of,O,IN
201,201,13,the,O,DT
202,202,13,two,O,CD
203,203,13,that,O,WDT
204,204,13,remained,O,VBD
205,205,13,",",O,","
206,206,13,one,O,CD
207,207,13,asked,O,VBD
208,208,13,",",O,","
209,209,13,',O,''
210,210,13,Who,O,WP
211,211,13,amongst,O,IN
212,212,13,us,O,PRP
213,213,13,two,O,CD
214,214,13,shall,O,MD
215,215,13,fall,O,VB
216,216,13,down,O,RP
217,217,13,?,O,.
218,218,13,',O,''
219,219,14,And,O,CC
220,220,14,the,O,DT
