,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,1,BOOK,O,NNP
1,1,1,1,O,CD
2,2,1,ADI,O,NNP
3,3,1,PARVA,I-LIT&ART,NNP
4,4,1,Translated,O,VBN
5,5,1,into,O,IN
6,6,1,English,O,NNP
7,7,1,Prose,O,NN
8,8,1,from,O,IN
9,9,1,the,O,DT
10,10,1,Original,O,NNP
11,11,1,Sanskrit,O,NNP
12,12,1,Text,O,NNP
13,13,1,by,O,IN
14,14,1,Kisari,O,NNP
15,15,1,Mohan,B-PER,NNP
16,16,1,Ganguli,O,NNP
17,17,1,[,O,-LRB-
18,18,1,1883-1896,O,CD
19,19,1,],O,-RRB-
20,20,1,Scanned,O,VBN
21,21,1,at,O,IN
22,22,1,sacred-texts.com,O,ADD
23,23,1,",",O,","
24,24,1,2003,O,CD
25,25,1,.,O,.
26,26,2,Proofed,O,VBN
27,27,2,at,O,IN
28,28,2,Distributed,O,NNP
29,29,2,Proofing,O,NNP
30,30,2,",",O,","
31,31,2,Juliet,O,NNP
32,32,2,Sutherland,O,NNP
33,33,2,",",O,","
34,34,2,Project,O,NNP
35,35,2,Manager,O,NNP
36,36,2,.,O,.
37,37,3,Additional,O,JJ
38,38,3,proofing,O,NN
39,39,3,and,O,CC
40,40,3,formatting,O,NN
41,41,3,at,O,IN
42,42,3,sacred-texts.com,O,ADD
43,43,3,",",O,","
44,44,3,by,O,IN
45,45,3,J,O,NNP
46,46,3,.,O,.
47,47,4,B.,O,NNP
48,48,4,Hare,O,NNP
49,49,4,.,O,.
50,50,5,TRANSLATOR,O,NN
51,51,5,',O,''
52,52,5,S,O,VBZ
53,53,5,PREFACE,O,NN
54,54,5,The,O,DT
55,55,5,object,O,NN
56,56,5,of,O,IN
57,57,5,a,O,DT
58,58,5,translator,O,NN
59,59,5,should,O,MD
60,60,5,ever,O,RB
61,61,5,be,O,VB
62,62,5,to,O,TO
63,63,5,hold,O,VB
64,64,5,the,O,DT
65,65,5,mirror,O,NN
66,66,5,upto,O,IN
67,67,5,his,O,PRP$
68,68,5,author,O,NN
69,69,5,.,O,.
70,70,6,That,O,DT
71,71,6,being,O,VBG
72,72,6,so,O,RB
73,73,6,",",O,","
74,74,6,his,O,PRP$
75,75,6,chief,O,JJ
76,76,6,duty,O,NN
77,77,6,is,O,VBZ
78,78,6,to,O,TO
79,79,6,represent,O,VB
80,80,6,so,O,RB
81,81,6,far,O,RB
82,82,6,as,O,IN
83,83,6,practicable,O,JJ
84,84,6,the,O,DT
85,85,6,manner,O,NN
86,86,6,in,O,IN
87,87,6,which,O,WDT
88,88,6,his,O,PRP$
89,89,6,author,O,NN
90,90,6,',O,POS
91,91,6,s,O,POS
92,92,6,ideas,O,NNS
93,93,6,have,O,VBP
94,94,6,been,O,VBN
95,95,6,expressed,O,VBN
96,96,6,",",O,","
97,97,6,retaining,O,VBG
98,98,6,if,O,IN
99,99,6,possible,O,JJ
100,100,6,at,O,IN
101,101,6,the,O,DT
102,102,6,sacrifice,O,NN
103,103,6,of,O,IN
104,104,6,idiom,O,NN
105,105,6,and,O,CC
106,106,6,taste,O,VB
107,107,6,all,O,PDT
108,108,6,the,O,DT
109,109,6,peculiarities,O,NNS
110,110,6,of,O,IN
111,111,6,his,O,PRP$
112,112,6,author,O,NN
113,113,6,',O,''
114,114,6,s,O,POS
115,115,6,imagery,O,NN
116,116,6,and,O,CC
117,117,6,of,O,IN
118,118,6,language,O,NN
119,119,6,as,O,RB
120,120,6,well,O,RB
121,121,6,.,O,.
122,122,7,In,O,IN
123,123,7,regard,O,NN
124,124,7,to,O,IN
125,125,7,translations,O,NNS
126,126,7,from,O,IN
127,127,7,the,O,DT
128,128,7,Sanskrit,O,NNP
129,129,7,",",O,","
130,130,7,nothing,O,NN
131,131,7,is,O,VBZ
132,132,7,easier,O,JJR
133,133,7,than,O,IN
134,134,7,to,O,TO
135,135,7,dish,O,VB
136,136,7,up,O,RP
137,137,7,Hindu,O,NNP
138,138,7,ideas,O,NNS
139,139,7,",",O,","
140,140,7,so,O,IN
141,141,7,as,O,IN
142,142,7,to,O,TO
143,143,7,make,O,VB
144,144,7,them,O,PRP
145,145,7,agreeable,O,JJ
146,146,7,to,O,IN
147,147,7,English,O,NNP
148,148,7,taste,O,NN
149,149,7,.,O,.
150,150,8,But,O,CC
151,151,8,the,O,DT
152,152,8,endeavour,O,NN
153,153,8,of,O,IN
154,154,8,the,O,DT
155,155,8,present,O,JJ
156,156,8,translator,O,NN
157,157,8,has,O,VBZ
158,158,8,been,O,VBN
159,159,8,to,O,TO
160,160,8,give,O,VB
161,161,8,in,O,RP
162,162,8,the,O,DT
163,163,8,following,O,VBG
164,164,8,pages,O,NNS
165,165,8,as,O,RB
166,166,8,literal,O,JJ
167,167,8,a,O,DT
168,168,8,rendering,O,NN
169,169,8,as,O,IN
170,170,8,possible,O,JJ
171,171,8,of,O,IN
172,172,8,the,O,DT
173,173,8,great,O,JJ
174,174,8,work,O,NN
175,175,8,of,O,IN
176,176,8,Vyasa,B-PER,NNP
177,177,8,.,O,.
178,178,9,To,O,IN
179,179,9,the,O,DT
180,180,9,purely,O,RB
181,181,9,English,O,JJ
182,182,9,reader,O,NN
183,183,9,there,O,EX
184,184,9,is,O,VBZ
185,185,9,much,O,JJ
186,186,9,in,O,IN
187,187,9,the,O,DT
188,188,9,following,O,VBG
189,189,9,pages,O,NNS
190,190,9,that,O,WDT
191,191,9,will,O,MD
192,192,9,strike,O,VB
193,193,9,as,O,IN
194,194,9,ridiculous,O,JJ
195,195,9,.,O,.
196,196,10,Those,O,DT
197,197,10,unacquainted,O,JJ
198,198,10,with,O,IN
199,199,10,any,O,DT
200,200,10,language,O,NN
201,201,10,but,O,CC
202,202,10,their,O,PRP$
203,203,10,own,O,JJ
204,204,10,are,O,VBP
205,205,10,generally,O,RB
206,206,10,very,O,RB
207,207,10,exclusive,O,JJ
208,208,10,in,O,IN
209,209,10,matters,O,NNS
210,210,10,of,O,IN
211,211,10,taste,O,NN
212,212,10,.,O,.
213,213,11,Having,O,VBG
214,214,11,no,O,DT
215,215,11,knowledge,O,NN
216,216,11,of,O,IN
217,217,11,models,O,NNS
218,218,11,other,O,JJ
219,219,11,than,O,IN
220,220,11,what,O,WP
221,221,11,they,O,PRP
222,222,11,meet,O,VBP
223,223,11,with,O,IN
224,224,11,in,O,IN
225,225,11,their,O,PRP$
226,226,11,own,O,JJ
227,227,11,tongue,O,NN
228,228,11,",",O,","
229,229,11,the,O,DT
230,230,11,standard,O,NN
231,231,11,they,O,PRP
232,232,11,have,O,VBP
233,233,11,formed,O,VBN
234,234,11,of,O,IN
235,235,11,purity,O,NN
236,236,11,and,O,CC
237,237,11,taste,O,NN
238,238,11,in,O,IN
239,239,11,composition,O,NN
240,240,11,must,O,MD
241,241,11,necessarily,O,RB
242,242,11,be,O,VB
243,243,11,a,O,DT
244,244,11,narrow,O,JJ
245,245,11,one,O,NN
246,246,11,.,O,.
247,247,12,The,O,DT
248,248,12,translator,O,NN
249,249,12,",",O,","
250,250,12,however,O,RB
251,251,12,",",O,","
252,252,12,would,O,MD
253,253,12,ill-discharge,O,VB
254,254,12,his,O,PRP$
255,255,12,duty,O,NN
256,256,12,",",O,","
257,257,12,if,O,IN
258,258,12,for,O,IN
259,259,12,the,O,DT
260,260,12,sake,O,NN
261,261,12,of,O,IN
262,262,12,avoiding,O,VBG
263,263,12,ridicule,O,NN
264,264,12,",",O,","
265,265,12,he,O,PRP
266,266,12,sacrificed,O,VBD
267,267,12,fidelity,O,NN
268,268,12,to,O,IN
269,269,12,the,O,DT
270,270,12,original,O,JJ
271,271,12,.,O,.
272,272,13,He,O,PRP
273,273,13,must,O,MD
274,274,13,represent,O,VB
275,275,13,his,O,PRP$
276,276,13,author,O,NN
277,277,13,as,O,IN
278,278,13,he,O,PRP
279,279,13,is,O,VBZ
280,280,13,",",O,","
281,281,13,not,O,RB
282,282,13,as,O,IN
283,283,13,he,O,PRP
284,284,13,should,O,MD
285,285,13,be,O,VB
286,286,13,to,O,TO
287,287,13,please,O,VB
288,288,13,the,O,DT
289,289,13,narrow,O,JJ
290,290,13,taste,O,NN
291,291,13,of,O,IN
292,292,13,those,O,DT
293,293,13,entirely,O,RB
294,294,13,unacquainted,O,JJ
295,295,13,with,O,IN
296,296,13,him,O,PRP
297,297,13,.,O,.
298,298,14,Mr.,O,NNP
299,299,14,Pickford,O,NNP
300,300,14,",",O,","
301,301,14,in,O,IN
302,302,14,the,O,DT
303,303,14,preface,O,NN
304,304,14,to,O,IN
305,305,14,his,O,PRP$
306,306,14,English,O,JJ
307,307,14,translation,O,NN
308,308,14,of,O,IN
309,309,14,the,O,DT
310,310,14,Mahavira,B-PER,NNP
311,311,14,Charita,I-PER,NNP
312,312,14,",",O,","
313,313,14,ably,O,RB
314,314,14,defends,O,VBZ
315,315,14,a,O,DT
316,316,14,close,O,JJ
317,317,14,adherence,O,NN
318,318,14,to,O,IN
319,319,14,the,O,DT
320,320,14,original,O,JJ
321,321,14,even,O,RB
322,322,14,at,O,IN
323,323,14,the,O,DT
324,324,14,sacrifice,O,NN
325,325,14,of,O,IN
326,326,14,idiom,O,NN
327,327,14,and,O,CC
328,328,14,taste,O,NN
329,329,14,against,O,IN
330,330,14,the,O,DT
331,331,14,claims,O,NNS
332,332,14,of,O,IN
333,333,14,what,O,WP
334,334,14,has,O,VBZ
335,335,14,been,O,VBN
336,336,14,called,O,VBN
337,337,14,',O,''
338,338,14,Free,O,NNP
339,339,14,Translation,O,NNP
340,340,14,",",O,","
341,341,14,',O,''
342,342,14,which,O,WDT
343,343,14,means,O,VBZ
344,344,14,dressing,O,VBG
345,345,14,the,O,DT
346,346,14,author,O,NN
347,347,14,in,O,IN
348,348,14,an,O,DT
349,349,14,outlandish,O,JJ
350,350,14,garb,O,NN
351,351,14,to,O,TO
352,352,14,please,O,VB
353,353,14,those,O,DT
354,354,14,to,O,TO
