,sentence_no,word,POS_Tags
0,1,Next,RB
1,1,",",","
2,1,He,PRP
3,1,transforms,VBZ
4,1,Himself,PRP
5,1,into,IN
6,1,Pradyumna,NNP
7,1,and,CC
8,1,then,RB
9,1,into,IN
10,1,Aniruddha,NNP
11,1,.,.
12,2,In,IN
13,2,this,DT
14,2,way,NN
15,2,",",","
16,2,the,DT
17,2,high-souled,JJ
18,2,Krishna,NNP
19,2,",",","
20,2,who,WP
21,2,has,VBZ
22,2,Himself,PRP
23,2,for,IN
24,2,His,PRP$
25,2,origin,NN
26,2,divides,VBZ
27,2,(,","
28,2,or,CC
29,2,displays,VBZ
30,2,),:
31,2,Himself,PRP
32,2,in,IN
33,2,fourfold,JJ
34,2,form,NN
35,2,.,.
36,3,Desirous,NNP
37,3,of,IN
38,3,creating,VBG
39,3,this,DT
40,3,universe,NN
41,3,which,WDT
42,3,consists,VBZ
43,3,of,IN
44,3,the,DT
45,3,fivefold,JJ
46,3,primal,JJ
47,3,elements,NNS
48,3,",",","
49,3,He,PRP
50,3,sets,VBZ
51,3,himself,PRP
52,3,to,IN
53,3,his,PRP$
54,3,task,NN
55,3,",",","
56,3,and,CC
57,3,causes,VBZ
58,3,it,PRP
59,3,to,TO
60,3,go,VB
61,3,on,RB
62,3,in,IN
63,3,the,DT
64,3,fivefold,JJ
65,3,form,NN
66,3,of,IN
67,3,animate,JJ
68,3,existence,NN
69,3,consisting,VBG
70,3,of,IN
71,3,deities,NNS
72,3,and,CC
73,3,Asuras,NNPS
74,3,and,CC
75,3,human,JJ
76,3,beings,NNS
77,3,and,CC
78,3,beasts,NNS
79,3,and,CC
80,3,birds,NNS
81,3,.,.
82,4,He,PRP
83,4,it,PRP
84,4,is,VBZ
85,4,that,DT
86,4,then,RB
87,4,creates,VBZ
88,4,the,DT
89,4,Earth,NNP
90,4,and,CC
91,4,the,DT
92,4,Wind,NNP
93,4,",",","
94,4,the,DT
95,4,Sky,NNP
96,4,",",","
97,4,Light,NNP
98,4,",",","
99,4,and,CC
100,4,also,RB
101,4,Water,NNP
102,4,",",","
103,4,O,UH
104,4,son,NN
105,4,of,IN
106,4,Pritha,NNP
107,4,!,.
108,5,Having,VBG
109,5,created,VBN
110,5,this,DT
111,5,universe,NN
112,5,of,IN
113,5,immobile,JJ
114,5,and,CC
115,5,mobile,JJ
116,5,objects,NNS
117,5,distributed,VBN
118,5,into,IN
119,5,four,CD
120,5,orders,NNS
121,5,of,IN
122,5,being,VBG
123,5,(,","
124,5,viz,FW
125,5,.,.
126,5,",",","
127,5,viviparous,JJ
128,5,",",","
129,5,oviparous,JJ
130,5,",",","
131,5,vegetable,JJ
132,5,and,CC
133,5,filth-born,JJ
134,5,),-RRB-
135,5,",",","
136,5,he,PRP
137,5,then,RB
138,5,created,VBD
139,5,the,DT
140,5,earth,NN
141,5,with,IN
142,5,her,PRP$
143,5,fivefold,JJ
144,5,seed,NN
145,5,.,.
146,6,He,PRP
147,6,then,RB
148,6,created,VBD
149,6,the,DT
150,6,firmament,NN
151,6,for,IN
152,6,pouring,VBG
153,6,copious,JJ
154,6,showers,NNS
155,6,of,IN
156,6,water,NN
157,6,on,IN
158,6,the,DT
159,6,earth,NN
160,6,.,.
161,7,[,-LRB-
162,7,614,CD
163,7,],-RRB-
164,7,Without,IN
165,7,doubt,NN
166,7,",",","
167,7,O,UH
168,7,king,NN
169,7,",",","
170,7,it,PRP
171,7,is,VBZ
172,7,this,DT
173,7,Krishna,NNP
174,7,who,WP
175,7,has,VBZ
176,7,created,VBN
177,7,this,DT
178,7,universe,NN
179,7,.,.
180,8,His,PRP$
181,8,origin,NN
182,8,is,VBZ
183,8,in,IN
184,8,his,PRP$
185,8,own,JJ
186,8,self,NN
187,8,;,:
188,8,it,PRP
189,8,is,VBZ
190,8,He,PRP
191,8,who,WP
192,8,causes,VBZ
193,8,all,DT
194,8,things,NNS
195,8,to,TO
196,8,exist,VB
197,8,through,IN
198,8,his,PRP$
199,8,own,JJ
200,8,puissance,NN
201,8,.,.
202,9,He,PRP
203,9,it,PRP
204,9,is,VBZ
205,9,that,DT
206,9,has,VBZ
207,9,created,VBN
208,9,the,DT
209,9,deities,NNS
210,9,",",","
211,9,the,DT
212,9,Asuras,NNPS
213,9,",",","
214,9,the,DT
215,9,human,JJ
216,9,beings,NNS
217,9,",",","
218,9,the,DT
219,9,world,NN
220,9,",",","
221,9,the,DT
222,9,Rishis,NNPS
223,9,",",","
224,9,the,DT
225,9,Pitris,NNP
226,9,",",","
227,9,and,CC
228,9,all,DT
229,9,creatures,NNS
230,9,.,.
231,10,Desirous,JJ
232,10,of,IN
233,10,creating,VBG
234,10,",",","
235,10,that,IN
236,10,Lord,NNP
237,10,of,IN
238,10,all,DT
239,10,creatures,NNS
240,10,duly,RB
241,10,created,VBD
242,10,the,DT
243,10,whole,JJ
244,10,universe,NN
245,10,of,IN
246,10,life,NN
247,10,.,.
248,11,Know,VB
249,11,that,IN
250,11,good,NN
251,11,and,CC
252,11,evil,NN
253,11,",",","
254,11,mobile,JJ
255,11,and,CC
256,11,immobile,JJ
257,11,",",","
258,11,have,VBP
259,11,all,RB
260,11,flowed,VBN
261,11,from,IN
262,11,this,DT
263,11,One,NN
264,11,who,WP
265,11,is,VBZ
266,11,Vishwaksena,NNP
267,11,.,.
268,12,Whatever,WDT
269,12,exists,VBZ
270,12,",",","
271,12,and,CC
272,12,whatever,WDT
273,12,will,MD
274,12,spring,VB
275,12,into,IN
276,12,existence,NN
277,12,",",","
278,12,all,DT
279,12,is,VBZ
280,12,Kesava,NNP
281,12,.,.
282,13,This,DT
283,13,Krishna,NNP
284,13,is,VBZ
285,13,also,RB
286,13,the,DT
287,13,death,NN
288,13,that,WDT
289,13,overtakes,VBZ
290,13,all,DT
291,13,creatures,NNS
292,13,when,WRB
293,13,their,PRP$
294,13,end,NN
295,13,comes,VBZ
296,13,.,.
297,14,He,PRP
298,14,is,VBZ
299,14,eternal,JJ
300,14,and,CC
301,14,it,PRP
302,14,is,VBZ
303,14,He,PRP
304,14,who,WP
305,14,upholds,VBZ
306,14,the,DT
307,14,cause,NN
308,14,of,IN
309,14,Righteousness,NNP
310,14,.,.
311,15,Whatever,WDT
312,15,existed,VBD
313,15,in,IN
314,15,the,DT
315,15,past,NN
316,15,",",","
317,15,and,CC
318,15,whatever,WDT
319,15,we,PRP
320,15,do,VBP
